고객ID,성별,연령,개시일,서비스기간,단선횟수,지불방법,요금제,이탈여부,핸드셋,고객등급
K100010,남,46,18-Jul-99,15.066667,1,선불,CAT 50,이탈,SOP10,1
K100020,남,27,18-Sep-97,37.333333,0,선불,CAT 50,이탈,SOP10,3
K100030,남,39,23-Aug-96,50.366667,2,선불,CAT 50,이탈,SOP20,3
K100040,남,28,18-Aug-98,26.2,2,선불,CAT 50,이탈,SOP10,3
K100050,남,47,11-Aug-98,26.433333,0,선불,CAT 50,이탈,SOP10,
K100060,남,29,06-Jul-97,39.8,1,선불,CAT 50,이탈,SOP10,5
K100070,남,38,14-Oct-99,12.133333,1,선불,CAT 50,이탈,SOP20,5
K100080,남,27,20-Jan-98,33.2,0,선불,CAT 50,이탈,SOP20,2
K100090,남,38,31-May-96,53.166667,1,선불,CAT 50,이탈,SOP20,2
K100100,남,48,28-Jul-96,51.233333,0,선불,CAT 50,이탈,SOP20,3
K100110,남,34,11-Dec-98,22.366667,2,선불,CAT 50,이탈,SOP20,2
K100120,남,32,06-Nov-97,35.7,0,선불,CAT 50,이탈,SOP20,3
K100130,남,45,15-Dec-96,46.566667,2,선불,CAT 50,이탈,SOP20,5
K100140,남,29,24-Mar-99,18.933333,1,선불,CAT 50,이탈,SOP20,1
K100150,남,30,28-Jul-98,26.9,2,선불,CAT 50,이탈,SOP20,2
K100160,남,28,18-Jul-99,15.066667,9,선불,CAT 50,이탈,SOP20,1
K100170,남,26,28-Jun-97,40.066667,1,선불,CAT 50,이탈,SOP10,2
K100180,남,37,26-Jun-98,27.966667,1,선불,CAT 50,이탈,SOP10,3
K100190,남,38,06-Aug-97,38.766667,2,선불,CAT 50,이탈,SOP10,2
K100200,남,46,09-Oct-96,48.8,0,선불,CAT 50,이탈,SOP10,4
K100210,남,30,12-Dec-96,46.666667,2,선불,CAT 50,이탈,SOP20,2
K100220,남,28,21-Apr-99,18,9,선불,CAT 50,이탈,SOP20,1
K100230,남,33,20-Jul-98,27.166667,2,선불,CAT 50,이탈,SOP10,2
K100240,남,39,28-Mar-99,18.8,0,선불,CAT 50,이탈,SOP10,5
K100250,남,28,22-May-96,53.466667,0,선불,CAT 50,이탈,SOP20,2
K100260,남,42,21-Jan-98,33.166667,1,선불,CAT 50,이탈,SOP10,5
K100270,남,44,01-May-98,29.833333,2,선불,CAT 50,유지,SOP20,4
K100280,남,46,16-Sep-97,37.4,0,선불,CAT 50,이탈,SOP10,4
K100290,남,27,18-Feb-99,20.066667,0,선불,CAT 50,이탈,SOP20,4
K100300,남,30,27-Jun-96,52.266667,8,선불,CAT 50,이탈,SOP20,1
K100310,남,34,19-Apr-98,30.233333,11,선불,CAT 50,이탈,SOP20,3
K100320,남,34,13-Apr-97,42.6,1,선불,CAT 50,이탈,SOP10,5
K100330,남,26,19-Feb-97,44.366667,1,선불,CAT 50,이탈,SOP10,
K100340,남,50,06-Feb-96,57,0,선불,CAT 50,이탈,SOP20,1
K100350,남,37,20-Apr-98,30.2,2,선불,CAT 50,이탈,SOP10,1
K100360,남,30,10-Jan-97,45.7,6,선불,CAT 50,이탈,SOP10,1
K100370,남,45,14-Jun-97,40.533333,0,선불,CAT 50,이탈,SOP20,5
K100380,남,39,23-Dec-98,21.966667,2,선불,CAT 50,이탈,SOP20,5
K100390,남,35,13-Jul-99,15.233333,1,선불,CAT 50,이탈,SOP10,3
K100400,남,50,19-Jun-98,28.2,0,선불,CAT 50,이탈,SOP20,1
K100410,남,45,18-Aug-96,50.533333,7,선불,CAT 50,이탈,SOP20,1
K100420,남,31,20-May-98,29.2,1,선불,CAT 50,이탈,SOP10,4
K100430,남,35,12-Jun-98,28.433333,0,선불,CAT 50,이탈,SOP10,4
K100440,남,27,17-Apr-97,42.466667,2,선불,CAT 50,이탈,SOP20,1
K100450,남,32,08-Aug-98,26.533333,0,선불,CAT 50,이탈,SOP20,5
K100460,남,39,01-Aug-97,38.933333,1,선불,CAT 50,이탈,SOP10,3
K100470,남,29,20-Jul-99,15,1,선불,CAT 50,이탈,SOP10,
K100480,남,35,02-Nov-98,23.666667,11,선불,CAT 50,이탈,SOP10,5
K100490,남,35,20-Dec-96,46.4,9,선불,CAT 50,이탈,SOP20,2
K100500,남,50,12-Dec-96,46.666667,2,선불,CAT 50,유지,SOP20,4
K100510,남,33,01-Aug-98,26.766667,0,선불,CAT 50,이탈,SOP20,5
K100520,남,28,27-Aug-97,38.066667,1,선불,CAT 50,이탈,SOP10,4
K100530,남,37,18-Jan-99,21.1,2,선불,CAT 50,이탈,SOP20,3
K100540,남,39,03-Sep-96,50,0,선불,CAT 50,이탈,SOP10,1
K100550,남,27,14-Jul-97,39.533333,1,선불,CAT 50,이탈,SOP10,2
K100560,남,40,12-Apr-96,54.8,1,선불,CAT 50,이탈,SOP20,5
K100570,남,41,05-May-98,29.7,1,선불,CAT 50,이탈,SOP10,
K100580,남,27,27-Jul-98,26.933333,1,선불,CAT 50,이탈,SOP20,3
K100590,남,35,20-Feb-96,56.533333,8,선불,CAT 50,이탈,SOP20,2
K100600,남,35,31-Jul-98,26.8,0,선불,CAT 50,이탈,SOP10,3
K100610,남,34,16-Jul-96,51.633333,2,선불,CAT 50,이탈,SOP20,4
K100620,남,30,04-Mar-96,56.1,1,선불,CAT 50,이탈,SOP20,3
K100630,남,45,01-Oct-96,49.066667,4,선불,CAT 50,이탈,SOP10,3
K100640,남,37,20-Mar-97,43.4,0,선불,CAT 50,이탈,SOP20,2
K100650,남,48,09-Jun-96,52.866667,3,선불,CAT 50,이탈,SOP10,4
K100660,남,42,28-Oct-99,11.666667,1,선불,CAT 50,이탈,SOP20,
K100670,남,38,11-Jan-98,33.5,2,선불,CAT 50,이탈,SOP20,
K100680,남,28,02-Oct-97,36.866667,7,선불,CAT 50,이탈,SOP20,4
K100690,남,30,02-Oct-97,36.866667,2,선불,CAT 50,이탈,SOP10,3
K100700,남,29,05-Apr-99,18.533333,2,선불,CAT 50,이탈,SOP10,1
K100710,남,37,23-Oct-99,11.833333,0,선불,CAT 50,이탈,SOP20,1
K100720,남,40,01-Feb-99,20.633333,1,선불,CAT 50,이탈,SOP20,2
K100730,남,40,31-Jul-96,51.133333,0,선불,CAT 50,이탈,SOP20,2
K100740,남,37,19-Oct-99,11.966667,1,선불,CAT 50,유지,SOP10,5
K100750,남,28,14-Oct-96,48.633333,1,선불,CAT 50,이탈,SOP10,5
K100760,남,37,24-May-99,16.9,1,선불,CAT 50,이탈,SOP20,1
K100770,남,33,23-Jan-96,57.466667,2,선불,Play 100,이탈,SOP10,4
K100780,남,36,23-Apr-98,30.1,2,선불,Play 100,이탈,SOP10,2
K100790,남,29,16-Nov-96,47.533333,1,선불,Play 100,이탈,SOP10,1
K100800,남,39,24-May-97,41.233333,1,선불,Play 100,이탈,SOP20,1
K100810,남,42,25-Dec-97,34.066667,0,선불,Play 100,이탈,SOP20,3
K100820,남,37,22-Jul-98,27.1,0,선불,Play 100,이탈,SOP20,3
K100830,남,33,16-Jan-97,45.5,8,선불,Play 100,이탈,SOP10,2
K100840,남,33,26-May-98,29,1,선불,Play 100,이탈,SOP20,5
K100850,남,31,27-Oct-99,11.7,2,선불,Play 100,이탈,SOP20,4
K100860,남,25,07-Mar-99,19.5,0,선불,Play 100,이탈,SOP10,5
K100870,남,38,09-May-96,53.9,7,선불,Play 100,이탈,SOP20,5
K100880,남,33,23-Aug-97,38.2,0,선불,Play 100,이탈,SOP20,
K100890,남,42,01-Jul-98,27.8,7,선불,Play 100,이탈,SOP10,2
K100900,남,27,01-Apr-98,30.833333,2,선불,Play 100,이탈,SOP10,
K100910,남,28,07-Dec-96,46.833333,1,선불,Play 100,이탈,SOP20,
K100920,남,33,24-Apr-99,17.9,2,선불,Play 100,이탈,SOP10,3
K100930,남,25,14-Jul-96,51.7,1,선불,Play 100,이탈,SOP10,5
K100940,남,42,05-Jan-96,58.066667,5,선불,Play 100,이탈,SOP10,1
K100950,남,38,04-Jan-98,33.733333,1,선불,Play 100,이탈,SOP10,3
K100960,남,25,23-Dec-97,34.133333,0,선불,Play 100,이탈,SOP20,2
K100970,남,37,01-Apr-99,18.666667,1,선불,Play 100,이탈,SOP10,1
K100980,남,30,04-Apr-96,55.066667,2,선불,Play 100,이탈,SOP20,5
K100990,남,28,04-Feb-96,57.066667,1,선불,Play 100,이탈,SOP20,4
K101000,남,41,19-Aug-97,38.333333,1,선불,Play 100,이탈,SOP20,5
K101010,남,28,24-Sep-96,49.3,8,선불,Play 100,유지,SOP10,2
K101020,남,35,06-Feb-99,20.466667,0,선불,Play 100,이탈,SOP20,4
K101030,남,35,13-Aug-99,14.2,9,선불,Play 100,이탈,SOP10,5
K101040,남,30,25-Jul-98,27,0,선불,Play 100,이탈,SOP20,1
K101050,남,38,02-Jan-98,33.8,2,선불,Play 100,이탈,SOP10,2
K101060,남,50,02-May-97,41.966667,2,선불,Play 100,이탈,SOP10,1
K101070,남,50,16-Sep-96,49.566667,1,선불,Play 100,이탈,SOP10,
K101080,남,36,13-May-99,17.266667,5,선불,Play 100,이탈,SOP20,3
K101090,남,37,28-Apr-97,42.1,5,선불,Play 100,이탈,SOP20,4
K101100,남,49,15-Jul-98,27.333333,8,선불,Play 100,이탈,SOP20,4
K101110,남,38,03-Oct-96,49,0,선불,Play 100,이탈,SOP10,2
K101120,남,43,26-Mar-97,43.2,2,선불,Play 100,이탈,SOP20,3
K101130,남,28,06-Nov-97,35.7,4,선불,Play 100,이탈,SOP20,
K101140,남,28,22-Dec-99,9.833333,0,선불,Play 100,이탈,SOP10,5
K101150,남,30,21-Feb-99,19.966667,8,선불,Play 100,이탈,SOP20,4
K101160,남,32,11-Feb-99,20.3,0,선불,Play 100,이탈,SOP20,5
K101170,남,29,21-Jan-96,57.533333,1,선불,Play 100,이탈,SOP10,
K101180,남,37,10-Feb-99,20.333333,1,선불,Play 100,이탈,SOP10,1
K101190,남,27,18-Aug-97,38.366667,2,선불,Play 100,이탈,SOP10,3
K101200,남,28,26-Nov-96,47.2,0,선불,Play 100,이탈,SOP10,3
K101210,남,37,04-Jul-96,52.033333,0,선불,Play 100,이탈,SOP20,1
K101220,남,32,23-Dec-96,46.3,9,선불,Play 100,이탈,SOP10,4
K101230,남,44,13-Nov-99,11.133333,0,선불,Play 100,이탈,SOP10,1
K101240,남,26,26-Oct-97,36.066667,2,선불,Play 100,이탈,SOP20,3
K101250,남,44,03-Feb-97,44.9,2,선불,Play 100,이탈,SOP20,1
K101260,남,32,27-Nov-97,35,9,선불,Play 100,이탈,SOP20,5
K101270,남,49,08-Jul-97,39.733333,0,선불,Play 100,이탈,SOP20,1
K101280,남,30,31-Mar-99,18.7,6,선불,Play 100,이탈,SOP10,1
K101290,남,27,26-Apr-97,42.166667,6,선불,Play 100,이탈,SOP20,3
K101300,남,38,27-Nov-97,35,1,선불,Play 100,이탈,SOP10,4
K101310,남,41,24-Aug-98,26,2,선불,Play 100,이탈,SOP10,1
K101320,남,34,28-Jun-98,27.9,0,선불,Play 100,이탈,SOP20,3
K101330,남,44,01-Feb-99,20.633333,1,선불,Play 100,이탈,SOP10,1
K101340,남,41,17-Dec-98,22.166667,2,선불,Play 100,이탈,SOP20,3
K101350,남,33,13-Mar-97,43.633333,1,선불,Play 100,이탈,SOP20,2
K101360,남,36,13-Jan-98,33.433333,2,선불,Play 100,이탈,SOP10,3
K101370,남,40,17-Jul-97,39.433333,0,선불,Play 100,이탈,SOP10,1
