CUS_ID,TIME_ID,CTG_NM,SITE_CNT,ST_TIME
1,2013061008,커뮤니티,1,46
1,2013031716,쇼핑,1,5
1,2012082902,인터넷/컴퓨터,2,53
1,2012081122,뉴스/미디어,1,0
1,2012122721,게임,2,0
1,2012081008,엔터테인먼트,1,0
1,2012092716,인터넷/컴퓨터,1,1
1,2012083017,엔터테인먼트,2,73
1,2012091813,인터넷/컴퓨터,2,6
1,2012080915,뉴스/미디어,1,136
1,2013060915,인터넷/컴퓨터,4,1
1,2012090506,인터넷/컴퓨터,4,10
1,2012081708,인터넷/컴퓨터,3,42
1,2012070918,인터넷/컴퓨터,38,107
1,2012071301,뉴스/미디어,1,67
1,2012112623,인터넷/컴퓨터,2,6
1,2012080507,커뮤니티,1,2
1,2012071322,인터넷/컴퓨터,11,86
1,2012112311,게임,1,0
1,2012083122,커뮤니티,1,14
1,2013062613,커뮤니티,1,0
1,2012071501,뉴스/미디어,1,115
1,2012072305,인터넷/컴퓨터,1,60
1,2013062116,인터넷/컴퓨터,2,24
1,2012090209,커뮤니티,1,9
1,2012080405,인터넷/컴퓨터,2,11
1,2012112511,게임,2,0
1,2012072021,커뮤니티,1,0
1,2012101305,뉴스/미디어,1,59
1,2012091001,뉴스/미디어,5,471
1,2012072907,커뮤니티,2,13
1,2012071515,뉴스/미디어,2,18
1,2012112209,게임,1,6
1,2012071906,인터넷/컴퓨터,2,70
1,2012072507,쇼핑,1,0
1,2012100622,게임,3,0
1,2012071100,온라인교육,6,262
1,2013061007,뉴스/미디어,1,197
1,2013062215,인터넷/컴퓨터,1,7
1,2012080210,인터넷/컴퓨터,12,66
1,2012073006,인터넷/컴퓨터,8,248
1,2013052019,인터넷/컴퓨터,2,0
1,2013031716,뉴스/미디어,1,0
1,2012082914,인터넷/컴퓨터,1,0
1,2012070722,인터넷/컴퓨터,1,60
1,2012090500,뉴스/미디어,3,334
1,2012070700,뉴스/미디어,2,3
1,2012081413,인터넷/컴퓨터,4,26
1,2013062517,인터넷/컴퓨터,1,9
